job_title,company_size,ai_adoption_level,automation_risk,salary_usd,remote_friendly,job_growth_projection,industry_Energy,industry_Entertainment,industry_Finance,industry_Healthcare,industry_Manufacturing,industry_Retail,industry_Technology,industry_Telecommunications,industry_Transportation,location_Dubai,location_London,location_New York,location_Paris,location_San Francisco,location_Singapore,location_Sydney,location_Tokyo,location_Toronto,skill_javascript,skill_python,skill_sales,skill_marketing,skill_data_analysis,skill_ux/ui_design,skill_project_management,skill_communication,skill_machine_learning,skill_cybersecurity
HR Manager,Large,Medium,High,116772.434687809,Yes,Stable,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0
Sales Manager,Large,Medium,Low,73376.6022839067,No,Growth,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0
HR Manager,Large,Low,Medium,118340.87641895234,Yes,Stable,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0
Cybersecurity Analyst,Small,Medium,Low,97849.30282253175,Yes,Stable,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0
Sales Manager,Large,Low,Medium,102591.88272787948,Yes,Growth,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0,0,0,0
Operations Manager,Small,Medium,High,112988.46872002544,Yes,Stable,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,1,0
Cybersecurity Analyst,Small,Low,High,101462.64105384996,Yes,Stable,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0
Software Engineer,Small,High,High,103457.72432634902,Yes,Stable,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0
Marketing Specialist,Medium,Medium,Medium,86711.67119077238,Yes,Growth,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,1,0
Operations Manager,Small,Medium,Low,97443.3736294419,Yes,Decline,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,1,0,0,0,0
Software Engineer,Small,Low,Low,78250.04370056515,Yes,Growth,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0,0,0,0,0,1,0,0,0,0
UX Designer,Medium,Low,Low,83131.77800824065,Yes,Decline,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0,0,0,0
Operations Manager,Small,Medium,Medium,129293.90095937817,No,Stable,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0
UX Designer,Large,Low,Medium,73836.12829899156,No,Decline,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1,0,0,0,0,0,0,0,0
Sales Manager,Large,Medium,Medium,93086.3425327256,No,Growth,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,1,0,0,0,0,0
Software Engineer,Small,High,Medium,92269.38073430952,No,Growth,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,1
Marketing Specialist,Medium,Low,Medium,83784.91056438402,Yes,Stable,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0
Cybersecurity Analyst,Large,Medium,Low,100288.01873140877,No,Decline,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1
AI Researcher,Medium,High,Medium,101794.44185482766,No,Stable,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,1,0,0,0,0,0,0
HR Manager,Medium,High,Medium,71483.61633704841,Yes,Stable,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,1
Data Scientist,Large,Medium,Low,92027.13423093104,No,Growth,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,1,0,0,0,0,0,0,0
Marketing Specialist,Medium,Low,Medium,68352.65322455287,No,Decline,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0,0,1,0,0,0,0
Software Engineer,Large,Medium,Low,105770.97236634602,Yes,Decline,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,0,1,0,0,0
AI Researcher,Medium,High,Low,93529.74620725252,Yes,Decline,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0
Marketing Specialist,Large,Medium,High,91646.59773434176,Yes,Decline,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0,0,0,0,0
Software Engineer,Small,Low,High,103180.62697744806,No,Stable,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0,0,1,0,0,0,0,0,0,0
Product Manager,Large,High,High,84489.79419063198,No,Stable,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1
Product Manager,Large,Medium,High,108280.43918436408,Yes,Growth,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,1,0
UX Designer,Large,Low,Medium,71031.10254487729,Yes,Stable,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,1,0,0,0
Marketing Specialist,Large,High,High,118237.53037789057,No,Stable,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0,0,1,0,0,0,0,0,0,0
Product Manager,Medium,Low,Low,78981.77634890293,Yes,Growth,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0,0,0,0
Software Engineer,Small,High,Medium,56076.41864608825,No,Growth,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,1,0,0,0,0
UX Designer,Large,Medium,High,83429.30183074536,Yes,Growth,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,1,0,0,0
Software Engineer,Medium,Low,Low,81160.63605491581,Yes,Stable,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1,0,0,0,0,0,0,0,0,0
UX Designer,Small,High,Medium,83278.52027699928,No,Stable,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0,0,0,1,0,0,0,0,0,0
Marketing Specialist,Small,Low,Medium,94632.96030967963,Yes,Growth,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0
AI Researcher,Small,Low,High,111956.84721776543,Yes,Growth,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,0,0,0,0,0
Cybersecurity Analyst,Small,Medium,Medium,86165.88172205727,Yes,Growth,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0,0,1,0,0,0,0,0,0,0
Operations Manager,Large,Low,Low,76167.64860362199,No,Stable,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,1,0,0,0
AI Researcher,Large,High,Medium,67469.06375432406,Yes,Stable,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0,1,0,0,0,0,0,0,0
Sales Manager,Medium,High,Low,80636.34417381912,Yes,Decline,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0
Software Engineer,Medium,High,Medium,52243.50321499295,Yes,Stable,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,1
Sales Manager,Medium,High,High,75497.33812967277,Yes,Stable,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0
AI Researcher,Small,Medium,Low,114881.07791724372,Yes,Stable,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,1,0,0,0,0,0,0
UX Designer,Small,Low,Medium,73532.81590843154,Yes,Growth,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0,0,0,0,0,1,0,0,0,0
Operations Manager,Large,Medium,Medium,102574.31721600612,No,Stable,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0,1,0,0,0,0,0,0,0,0
Operations Manager,Small,Low,Medium,65470.358203830205,No,Growth,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,1
Data Scientist,Small,Low,Low,125421.91798621108,Yes,Decline,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,1,0,0,0,0,0,0
Operations Manager,Small,Low,Low,126752.1346612942,No,Decline,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,0,1,0,0,0,0,0,0,0
Cybersecurity Analyst,Medium,Medium,Low,101820.43113119752,No,Growth,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,1,0,0,0,0,0,0,0
Operations Manager,Medium,Low,High,129825.05203287044,Yes,Growth,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,1,0,0,0,0,0,0,0
AI Researcher,Large,Medium,High,97115.85949855324,No,Growth,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,1,0,0,0,0
Data Scientist,Small,High,Low,105370.34228299111,No,Stable,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,1,0,0,0,0,0
AI Researcher,Small,High,Medium,115238.6775346307,No,Decline,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0
AI Researcher,Large,Low,High,93594.369061969,No,Growth,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,1,0,0,0,0,0,0,0
HR Manager,Small,Medium,Low,58952.450768298775,No,Stable,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,1,0,0
Data Scientist,Small,High,Medium,105779.26710468795,No,Decline,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1
AI Researcher,Medium,Medium,High,80562.80811133073,No,Stable,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0
HR Manager,Large,Medium,Medium,82049.4035808908,No,Decline,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,1,0,0
HR Manager,Large,Low,Medium,95957.8983295738,Yes,Stable,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0
Data Scientist,Large,High,Medium,101325.6175943474,Yes,Decline,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,0,1,0,0,0,0
Sales Manager,Large,Low,Medium,93002.69268012435,No,Decline,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0
UX Designer,Medium,Low,High,102714.59072314618,No,Stable,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0
Cybersecurity Analyst,Medium,High,High,75862.85731879607,Yes,Growth,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,1
UX Designer,Small,High,High,89145.92410553433,No,Decline,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,1,0,0,0
Operations Manager,Small,Medium,Low,106981.70900901742,No,Growth,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0,0,0,0
Cybersecurity Analyst,Small,High,High,125455.82352873433,Yes,Stable,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1
Operations Manager,Small,Medium,Medium,132528.71177946418,Yes,Growth,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0
AI Researcher,Medium,Medium,High,98659.53365455465,Yes,Growth,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0,0,1,0,0,0,0,0,0,0
Software Engineer,Large,Medium,Medium,106800.19653491216,No,Growth,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0
Data Scientist,Medium,High,Low,129631.5832963038,No,Growth,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,1,0,0,0,0,0,0,0,0
Cybersecurity Analyst,Small,Low,Medium,76583.27926533011,Yes,Growth,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1
Cybersecurity Analyst,Medium,Medium,Medium,102593.99705425168,Yes,Decline,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,0,0,0,0,0,0,0,0,0
AI Researcher,Large,Low,Medium,105366.85898972292,No,Decline,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,1,0,0,0,0,0,0,0,0
Sales Manager,Large,Low,Low,118957.22872153488,Yes,Decline,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0
HR Manager,Medium,High,High,67257.17238927555,No,Stable,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0
AI Researcher,Medium,Low,High,71211.88432398967,No,Growth,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,1,0
Product Manager,Medium,Low,Low,90427.64422209412,Yes,Decline,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0
HR Manager,Small,High,Medium,97554.55324643273,Yes,Stable,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0
Data Scientist,Medium,Medium,High,112457.27907467616,No,Decline,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0
HR Manager,Medium,Low,Low,100350.87551624542,Yes,Decline,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,1,0,0,0,0,0,0,0
Sales Manager,Medium,High,High,86971.73539779433,Yes,Growth,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,1,0,0,0,0
HR Manager,Large,Low,Low,98329.2288951228,Yes,Stable,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,1,0,0,0,0
Data Scientist,Large,Low,Medium,96020.88952548904,Yes,Growth,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1
Sales Manager,Small,Medium,High,124900.32859975575,No,Growth,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,1,0
UX Designer,Small,Low,Low,93313.17887137063,No,Decline,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0
Cybersecurity Analyst,Large,High,High,82338.33172894873,No,Growth,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,0,1,0,0,0,0
Cybersecurity Analyst,Large,Low,High,98992.1806014366,No,Stable,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0
Operations Manager,Large,Medium,High,93969.70638677065,Yes,Growth,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1
UX Designer,Medium,Medium,High,58580.13288650656,Yes,Growth,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0
UX Designer,Medium,High,Low,89686.95876755661,No,Growth,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,1,0,0,0
HR Manager,Large,Medium,Medium,87985.23509187989,No,Decline,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0,0,0,1,0,0,0,0,0,0
Cybersecurity Analyst,Medium,Low,Low,79122.56268441367,Yes,Stable,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,1,0,0,0,0,0,0
Data Scientist,Medium,Medium,Low,110711.66575245943,No,Decline,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,0,1,0,0,0,0
Marketing Specialist,Small,High,Low,74286.40806776009,No,Decline,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,1,0,0,0,0,0,0
Marketing Specialist,Large,Medium,Medium,99112.37239049075,Yes,Decline,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,0,1,0,0,0
Sales Manager,Large,Medium,High,87042.86000312539,No,Decline,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,1,0,0,0,0,0,0,0,0
Cybersecurity Analyst,Medium,Medium,High,92153.90011293563,Yes,Decline,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1
Cybersecurity Analyst,Large,High,High,98235.72582091736,Yes,Stable,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0
Marketing Specialist,Small,Medium,Medium,63848.51232217997,No,Growth,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1
Cybersecurity Analyst,Small,Medium,High,93833.21783469566,Yes,Decline,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,1
HR Manager,Small,Low,Medium,135778.94979426413,No,Decline,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,1,0
Product Manager,Large,High,High,58864.73308242552,Yes,Stable,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0
Software Engineer,Large,Medium,High,88847.84072568991,No,Stable,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0
UX Designer,Large,High,Low,112464.7864964764,No,Growth,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0
Operations Manager,Large,Medium,Medium,96032.38495907192,No,Stable,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0
Sales Manager,Large,Medium,Low,103759.33904232067,Yes,Growth,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,1,0
Product Manager,Small,Medium,Low,42486.67977814768,Yes,Decline,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1
Marketing Specialist,Medium,Low,Low,101964.987492599,No,Decline,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,1,0,0,0,0
UX Designer,Small,Low,Medium,74766.23587532803,Yes,Growth,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0,0,0,1,0,0,0,0,0,0
Cybersecurity Analyst,Large,Low,Medium,96197.54569166292,No,Stable,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,1,0,0,0,0,0,0
Operations Manager,Small,High,High,89411.30538181018,No,Growth,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0
Cybersecurity Analyst,Large,High,Low,135566.66058323265,Yes,Stable,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,0,0,0,0,0,0
Data Scientist,Large,Low,High,100933.9064753175,No,Decline,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0
Data Scientist,Small,High,Low,87747.52341474428,Yes,Stable,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,1,0,0,0,0,0
Operations Manager,Large,Medium,Medium,59806.144814928906,No,Growth,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0
Operations Manager,Medium,Medium,Medium,92422.93803699792,Yes,Growth,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0,0,0,0,0,0,0,0
Marketing Specialist,Large,Medium,Medium,106464.57756693644,No,Decline,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0
Operations Manager,Medium,Low,Low,88388.96216361554,No,Stable,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,1,0,0,0,0,0,0,0,0,0
HR Manager,Medium,High,Medium,79886.87280125119,Yes,Stable,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0
Cybersecurity Analyst,Large,Low,Low,78548.26672307363,No,Stable,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0
Product Manager,Small,High,High,100702.8287091064,No,Decline,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,0,1,0,0,0
